2026-06-24 16:13:29Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:13:29Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:13:29Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:13:35Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:13:35Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:13:35Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:13:41Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:13:41Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:13:41Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:13:47Z hc1 (D2R_1): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:13:47Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:13:47Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:13:54Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:13:54Z hc2 (D2R_2): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:13:54Z hc3 (D2R_3): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:14:00Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:14:00Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:14:00Z hc3 (D2R_3): frame DiabloSplash (6s ago) [degraded] | last no input yet
2026-06-24 16:14:06Z hc1 (D2R_1): frame DiabloSplash (1s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (3s ago), fg ?
2026-06-24 16:14:06Z hc2 (D2R_2): frame DiabloSplash (0s ago) [degraded] | last no input yet
2026-06-24 16:14:06Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:14:12Z hc1 (D2R_1): frame DiabloSplash (4s ago) [degraded] | last key/SplashContinue/G/Space/Enter@683,384 (5s ago), fg ?
2026-06-24 16:14:12Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:14:12Z hc3 (D2R_3): frame DiabloSplash (0s ago) [degraded] | last no input yet
